;title;doi;abstract;url;publish_time;respuesta;score
292;Constructing Automated Revision Graphs: A Novel Visualization Technique to Study Student Writing;10.1007/978-3-030-52240-7_52;This paper introduces a novel technique of constructing Automated Revision Graphs (ARG) to facilitate the study of revisions in writing. ARG plots sentences of a written text as nodes, and their similarities to sentences from its previous draft as edges to visualize text as graph. Implemented in two forms: simple and multi-stage, the graphs demonstrate how sentence-level differences can be visualized in short texts to study revision products, processes, and student interaction with feedback in student writing.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334723/;10/6/2020;Automated Revision Graphs;0.9177
293;Social Transformation - Industry 4.0;10.1007/978-3-030-62784-3_31;The impact of advanced infrastructure and the rapidly rising production technologies on the industry have caused the desire for faster but less costly production, leading to Industry 4.0. This study addresses the general concepts in Industry 4.0, our country’s position in the Industry 4.0 processes, changes to be caused by Industry 4.0 in the society and Project Management of these changes. Also, the data from the OECD and Dijital Dönüşüm Derneği (Digital Transformation Association) will be interpreted.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7972116/;5/10/2020;Digital Transformation Association;0.9017
294;Coronavirus Disease (COVID-19) Vaccination Associated Axillary Adenopathy: Imaging Findings and Follow-Up Recommendations in 23 Women.;10.2214/ajr.21.25651;"We report 23 women with axillary adenopathy on breast imaging after recent coronavirus disease (COVID-19) vaccination. A total of 13% were symptomatic (axillary lump), 43% were undergoing screening; and 43% undergoing diagnostic imaging for other reasons. BI-RADS 2 was assigned in one woman, BI-RADS 3 in 21 (ultrasound in 4-24 weeks), and BI-RADS 4 in one. Radiologist familiarity and evidence-based guidelines are needed to avoid follow-up imaging and biopsies for reactive adenopathy after COVID-19 vaccination.";"https://doi.org/10.2214/ajr.21.25651; https://www.ncbi.nlm.nih.gov/pubmed/33624520/";24/2/2021;coronavirus disease;0.9727
295;Impact of COVID-19 Pandemic on Quality of Life for Children and Adolescents with Food Allergy.;10.1111/cea.13973;"The 2019 novel coronavirus disease (COVID-19) outbreak has substantially impacted the daily lives of people. The isolation and quarantine measures may also have negatively impacted wellbeing in individuals with food allergy (FA), who may be more vulnerable in some areas than the general public. For example, food shortages and lockdown policies have required changes in food purchasing habits, potentially limiting food choices;1 furthermore, it is likely that COVID-19 prevented access to FA-related medical care.";"https://doi.org/10.1111/cea.13973; https://www.ncbi.nlm.nih.gov/pubmed/34157164/";22/6/2021;coronavirus disease;0.9707
296;Thrombolysis restores perfusion in COVID‐19 hypoxia;10.1111/bjh.17050;Thrombolysis with tissue plasminogen activator (tPA) is an established treatment strategy for patients with intermediate and high-risk pulmonary embolism (PE) and signs of haemodynamic instability. The use of tPA in coronavirus disease -19 (COVID-19) patients with PE and acute respiratory distress syndrome (ARDS) may be of benefit due to the unusually high incidence of pulmonary embolism and pulmonary thrombosis, particularly microvascular thrombosis which are thought to contribute significantly to hypoxemia(1).;"https://www.ncbi.nlm.nih.gov/pubmed/32735730/; https://doi.org/10.1111/bjh.17050";17/8/2020;coronavirus disease -19;0.938
297;Use of a plastic barrier curtain to minimize droplet transmission during tracheal extubation in patients with coronavirus disease;10.1002/ams2.529;The rapid, global spread of coronavirus disease (COVID‐19) has overwhelmed hospital functions in many countries. To ameliorate this crisis, it is important to protect health care providers (HCPs) from COVID‐19. Many intensive care associations advocate guidelines for airway management, since COVID‐19 is considered to spread via droplets from the patient. Additionally, coughing during tracheal intubation and extubation contaminates the area surrounding the patient and increases the risk of infection to HCPs.;"https://www.ncbi.nlm.nih.gov/pubmed/32542112/; https://doi.org/10.1002/ams2.529";19/5/2020;coronavirus disease;0.9292
298;The Remote Influence of Nursing Leadership;10.1016/j.mnl.2020.06.005;Maintaining connection and support of staff amid the unprecedented challenges of the coronavirus pandemic (COVID-19) was difficult. One nurse leader conscientiously sent “Monday morning messages” to assure consistent inspirational communication with staff. Although remote work caused the leader to be separated from the staff, these messages helped support them through adaption, change, progress, and promotion of resiliency. The ability to inspire is an essential leadership trait, invaluable in times of crisis.;"https://doi.org/10.1016/j.mnl.2020.06.005; https://www.sciencedirect.com/science/article/pii/S1541461220301373; https://api.elsevier.com/content/article/pii/S1541461220301373; https://www.ncbi.nlm.nih.gov/pubmed/32837349/";15/7/2020;coronavirus pandemic;0.9521
299;'Let us Help'- Why Senior Medical Students are the Next Step in Battling the COVID-19 Pandemic.;10.1111/ijcp.13516;As senior medical students in the UK, we read Dr Stein's letter on the novel coronavirus (COVID-19) 2 and began wondering where we fit in, in this pandemic. As the government heads into a 'war footing' 13 , there is an increased need for medical staff. There is speculation of bringing back retired doctors, many of who fall into at risk categories. With clinical placement and exams cancelled, we are determined to use our hard-earned skills in some way, to help in what is the biggest global emergency of our lifetime.;"https://doi.org/10.1111/ijcp.13516; https://www.ncbi.nlm.nih.gov/pubmed/32301206/";16/4/2020;coronavirus;0.9977
300;“YES it’s the Perfect Time to Quit”: Fueling Tobacco Cessation in India during COVID-19 Pandemic;10.1177/1179173x20960447;Entire world is battling the Novel Coronavirus Disease (COVID-19) pandemic. India too, has undertaken stringent containment measures to combat this disease. The country is in a state of national lockdown, which has inadvertently led more than a quarter of the Indian population to not use tobacco. This paper discusses the opportunity that surfaces with unavailability of tobacco products, and advocates the need for escalation of tobacco cessation services as well as strategic management of stress to stay tobacco-free.;"https://doi.org/10.1177/1179173x20960447; https://www.ncbi.nlm.nih.gov/pubmed/33033429/";25/9/2020;Novel Coronavirus Disease;0.963
301;Delayed Start of the Respiratory Syncytial Virus Epidemic at the End of the 20/21 Northern Hemisphere Winter Season, Lyon, France;10.1101/2021.03.12.21253446;"The implementation of Non Pharmaceutical Interventions (NPI), triggered by the emergence of covid-19, decrease the RSV circulation. Data, from our ongoing surveillance; show a late introduction of RSV at the end of December and a 4 month delayed epidemic start without significant change in our NPI policy. This data indicates that RSV still have the potential to give a late season outbreak in northern hemisphere. RSV surveillance should be reinforced and RSV Pharmaceutical Interventions maintained for at risk neonate.";http://medrxiv.org/cgi/content/short/2021.03.12.21253446v1?rss=1;12/3/2021;Non Pharmaceutical Interventions;0.9157
302;COVID‐19 in a kidney transplant recipient after mRNA‐based SARS‐CoV‐2 vaccination;10.1111/tid.13649;Immunocompromised patients, including solid organ transplant recipients (SOTRs), were not included in the two large trials of Pfizer/BioNTech and Moderna mRNA vaccines, and therefore, safety and efficacy data are lacking in this population. Recently, immunogenicity, at a median of 29 days, after dose 2 of the mRNA SARS-CoV-2 vaccines have been studied among 658 SOTRs. 46% of participants did not mount anti spike antibody responses suggesting that such patients may remain at high risk for COVID-19 despite vaccination.;"https://doi.org/10.1111/tid.13649; https://www.ncbi.nlm.nih.gov/pubmed/34032340/";13/6/2021;solid organ transplant recipients;0.9048
303;DEA, SAMHSA relax OTP/OBOT regulations due to COVID‐19;10.1002/adaw.32664;Opioid treatment programs (OTPs) that dispense methadone got a fast and clear reprieve from federal authorities last week in the face of COVID‐19. The Drug Enforcement Administration (DEA) and the Substance Abuse and Mental Health Services Administration (SAMHSA) issued policies that give OTPs flexibility in take‐homes, limiting the frequency of face‐to‐face contact and opportunities for transmission of COVID‐19. There is also greater flexibility for office‐based opioid treatment (OBOT) with buprenorphine.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7161884/;20/3/2020;Opioid treatment programs;0.9466
304;Response of an oncology unit in the midst of the COVID-19 outbreak.;10.1177/1078155220967973;Coronavirus disease 19 (COVID-19) pandemic has caused an emergency in health systems worldwide. Apart from its apparent morbidity and mortality, COVID-19 has also imposed unique challenges in the management of cancer patients. We report here measures taken by a major oncology Unit in Greece to continue operation of the department while ensuring safety of the patients and health care professionals. The efficacy of these measures could serve as guidance for Oncology departments in view of a second wave of COVID-19 cases.;"https://doi.org/10.1177/1078155220967973; https://www.ncbi.nlm.nih.gov/pubmed/33092498/";22/10/2020;Coronavirus disease 19;0.9723
305;CUBA'S COVID-19 STRATEGY: UPDATED EPIDEMIC CONTROL AND RECOVERY MEASURES.;10.37757/mr2020.v22.n3.3;MEDICC Review continues documentation of Cuba's COVID-19 Prevention and Control Plan and its implementation, begun with our April issue (see https://mediccreview.org/cubas-covid-19-strategy-main-actions-through-april-23-2020). This time, we present two tables: the first refers to measures taken to confront the epidemic, and the second, to the phased recovery process that is expected to lead to changes in many, if not all, sectors of Cuban society. In both cases, we have indicated the source of the information provided.;"https://doi.org/10.37757/mr2020.v22.n3.3; https://www.ncbi.nlm.nih.gov/pubmed/32812892/";1/7/2020;Prevention and Control Plan;0.9191
306;Sex‐based differences in severity and mortality in COVID‐19;10.1002/rmv.2223;The current coronavirus disease (COVID‐19) pandemic caused by novel severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2) has a male bias in severity and mortality. This is consistent with previous coronavirus pandemics such as SARS‐CoV and MERS‐CoV, and viral infections in general. Here, we discuss the sex‐disaggregated epidemiological data for COVID‐19 and highlight underlying differences that may explain the sexual dimorphism to help inform risk stratification strategies and therapeutic options.;"https://doi.org/10.1002/rmv.2223; https://www.ncbi.nlm.nih.gov/pubmed/33646622/";1/3/2021;coronavirus disease;0.9632
307;Precedent for the Present: Neurosurgery During the 1918 War-Time Influenza Pandemic.;10.1016/j.wneu.2021.05.068;In the early twentieth century, early neurosurgical pioneers marked their claims in the specialty during the combined threats of the Spanish Influenza and World War I. Their stories, intimately connected, demonstrate personal and professional losses in the backdrop of overarching perseverance to achieve that which allowed neurosurgery to evolve into modernity. Today, as global order adapts to the SARS-CoV (COVID-19) pandemic, their stories provide an opportunity for reflection as we carve our way forward as a specialty.;"https://doi.org/10.1016/j.wneu.2021.05.068; https://www.ncbi.nlm.nih.gov/pubmed/34052449/";27/5/2021;SARS-CoV;0.9674
308;Hepatitis C Virus Entry: An Intriguingly Complex and Highly Regulated Process;10.3390/ijms21062091;Hepatitis C virus (HCV) is a major cause of chronic hepatitis and liver disease worldwide. Its tissue and species tropism are largely defined by the viral entry process that is required for subsequent productive viral infection and establishment of chronic infection. This review provides an overview of the viral and host factors involved in HCV entry into hepatocytes, summarizes our understanding of the molecular mechanisms governing this process and highlights the therapeutic potential of host-targeting entry inhibitors.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140000/;18/3/2020;Hepatitis C virus;0.9606
309;Practical guidance for dietary management of patients with inflammatory bowel disease during the SARS-CoV2 pandemic;10.1016/j.jand.2020.07.019;Abstract The recent outbreak of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV2) pandemic has affected almost every nation worldwide. Coronavirus disease (COVID-19) has resulted in considerable morbidity and mortality along with major disruption to global financial markets and social function with mandated social isolation precautions in many countries. Severe COVID-19 have been reported in older people and those with medical comorbidities, raising concern for those with pre-existing gastrointestinal illness.;"https://doi.org/10.1016/j.jand.2020.07.019; https://www.sciencedirect.com/science/article/pii/S2212267220309667?v=s5; https://api.elsevier.com/content/article/pii/S2212267220309667; https://www.ncbi.nlm.nih.gov/pubmed/32855101/";20/7/2020;Coronavirus disease;0.9823
310;Biventricular thrombi associated with myocardial infarction in a patient with COVID-19: a case report;10.1016/j.cjca.2020.06.016;A wide spectrum of cardiovascular manifestations has been documented in patients suffering from coronavirus disease (COVID-19). Usually associated with a poor prognosis, these manifestations include thrombo-embolic events, acute coronary syndrome, heart failure and cardiogenic shock. We describe a COVID-19 patient who presented with subacute myocardial infarction, biventricular thrombi and bilateral pulmonary emboli. Biventricular thrombi are rare, and their presence raises concern for an underlying prothrombotic condition.;"https://www.ncbi.nlm.nih.gov/pubmed/32599017/; https://doi.org/10.1016/j.cjca.2020.06.016; https://api.elsevier.com/content/article/pii/S0828282X20305791; https://www.sciencedirect.com/science/article/pii/S0828282X20305791?v=s5";26/6/2020;coronavirus disease;0.9822
311;A regional trauma organization as a coordinating body for a regional pandemic response: A brief report.;10.5055/ajdm.2020.0372;The outbreak of coronavirus disease (COVID-19) caused by the 2019 novel coronavirus (SARS-CoV-2) in 2019-2020 had a substantial impact on the healthcare resources of the world community. An organized regional response was essential to saving lives, preserving and distributing health care resources, and coordinating health care efforts. This brief report describes how a long-established regional trauma organization (RTO) provided that coordination in Central, Southeast, and Southeast Central Ohio during the COVID-19 pandemic.;"https://doi.org/10.5055/ajdm.2020.0372; https://www.ncbi.nlm.nih.gov/pubmed/33428194/";1/1/2020;coronavirus disease;0.9846
312;KLT Bin Detection and Pose Estimation in an Industrial Environment;10.1007/978-3-030-58817-5_9;In order for Automated Guided Vehicles (AGV’s) to handle KLT bins (Kleinladungsträger, Small Load Carrier) in a flexible way, a robust bin detection algorithm has to be developed. This paper presents a solution to the KLT bin detection and pose estimation task. The Mask R-CNN network is used to detect a KLT bin on color images, while a simple plane fitting approach is used to estimate its 5DoF position. This combination gives promising results in a typical use case scenario when the KLT bin is aligned with the camera view.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7974981/;24/8/2020;Automated Guided Vehicles;0.9108
313;Impact of COVID-19 pandemic restrictions on community-dwelling caregivers and persons with dementia.;10.1037/tra0000793;Restrictions related to the 2019 novel coronavirus (COVID-19) pose unique and significant challenges for community-dwelling caregivers and people with dementia, including disrupted routines, a lack of structure, decreased access to respite care, and new or worsening safety issues related to interpersonal violence and hygiene. In addition to identifying issues confronting caregivers, the authors also describe possible ways to address some of these pressing concerns. (PsycInfo Database Record (c) 2020 APA, all rights reserved).;"https://doi.org/10.1037/tra0000793; https://www.ncbi.nlm.nih.gov/pubmed/32584105/";25/6/2020;coronavirus;0.981
314;Dermatological findings in SARS‐CoV‐2 positive patients: An observational study from North India;10.1111/dth.13849;"A novel coronavirus (severe acute respiratory syndrome corononavirus‐2; SARS‐CoV‐2) has affected millions of people across the world. The coronavirus disease (COVID‐19) resulting from SARS‐CoV‐2 manifests in variable clinical severity, featuring both respiratory and extra‐respiratory symptoms. Dermatological manifestations of COVID‐19 are sparsely reported. To study the various dermatological findings in SARS‐CoV‐2 positive patients in Indian population. This article is protected by  . All rights reserved.";"https://doi.org/10.1111/dth.13849; https://www.ncbi.nlm.nih.gov/pubmed/32543757/";16/6/2020;coronavirus disease;0.911
315;The association between laryngopharyngeal reflux and COVID‐19 is still not demonstrated;10.1002/jmv.26080;We read with interest the paper entitled «The impact of laryngopharyngeal reflux disease on 95 hospitalized patients with COVID-19 in Wuhan, China: A retrospective study.»1 The authors retrospectively reported that hospitalized patients with laryngopharyngeal reflux (LPR) had poorer clinical outcomes compared with those without LPR according to Reflux Symptom Index (RSI). The LPR diagnosis was based on RSI>13, which is the threshold used by Belafsky et al. to suspect LPR.2 This article is protected by  . All rights reserved.;"https://doi.org/10.1002/jmv.26080; https://www.ncbi.nlm.nih.gov/pubmed/32462666/";9/6/2020;A retrospective study;0.9213
316;A trend towards an early increase in ketoacidosis at presentation of paediatric type 1 diabetes during the coronavirus‐2019 pandemic;10.1111/dme.14461;Increasing severity of ketoacidosis in newly diagnosed type 1 diabetes (T1D) has been reported during the coronavirus 2019 disease (COVID-19) pandemic in Germany[1] and cases of delayed presentation of children with T1D have also been reported in Italy[2] and the United States[3]. There are significant differences in healthcare delivery systems and socioeconomic status (SES) between the United States and Europe, prompting us to evaluate if delayed presentation can be documented in a large pediatric diabetes center in the United States.;"https://doi.org/10.1111/dme.14461; https://www.ncbi.nlm.nih.gov/pubmed/33236448/";1/12/2020;coronavirus 2019 disease;0.9589
317;Determination of cardiovascular dysfunction before initiation of extracorporeal membrane oxygenation in septic shock;10.1007/s12055-020-01119-4;Extracorporeal membrane oxygenation (ECMO) is being increasingly used in patients having sepsis-induced cardiovascular dysfunction. We report successful use of venovenous ECMO in septic shock secondary to pneumonia in the presence of severe left ventricular dysfunction. We also discuss the quantitative evaluation of cardiovascular dysfunction, which provides important input in choosing the type of ECMO in septic shock. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s12055-020-01119-4.;"https://doi.org/10.1007/s12055-020-01119-4; https://www.ncbi.nlm.nih.gov/pubmed/33519130/";26/1/2021;Extracorporeal membrane oxygenation;0.9611
318;Complex systems models for causal inference in social epidemiology.;10.1136/jech-2019-213052;Systems models, which by design aim to capture multi-level complexity, are a natural choice of tool for bridging the divide between social epidemiology and causal inference. In this commentary, we discuss the potential uses of complex systems models for improving our understanding of quantitative causal effects in social epidemiology. To put systems models in context, we will describe how this approach could be used to optimise the distribution of COVID-19 response resources to minimise social inequalities during and after the pandemic.;"https://doi.org/10.1136/jech-2019-213052; https://www.ncbi.nlm.nih.gov/pubmed/33172839/";10/11/2020;response resources;0.9389
319;Adolescents with somatic symptom disorder experienced less anxiety and depression than healthy peers during the first COVID-19 lockdown.;10.1111/apa.15877;Adolescents with mental health disorders are a high-risk population and problems during COVID-19 lockdowns have included increasing, widespread anxiety, fear, anger and uncertainty. Somatic symptom disorder (SSD) is characterised by disproportionate thoughts, feelings and behaviours about physical symptoms associated with the distress and disruption of everyday functioning. SSD accounts for 15-25% of adolescent mental health cases in primary care paediatric settings,3 and 8.6% of non-traumatic adolescent pain in emergency departments.4.;"https://doi.org/10.1111/apa.15877; https://www.ncbi.nlm.nih.gov/pubmed/33862667/";16/4/2021;Somatic symptom disorder;0.9528
320;Temporal changes in immune blood cell parameters in COVID‐19 infection and recovery from severe infection;10.1111/bjh.16847;Since emerging in China in December 2019, the infection caused by SARS-CoV-2, COVID-19, has infected more than 3 million people worldwide (Johns Hopkins University and Medicine: Coronavirus Resource Center). Since then, clusters of infections have emerged in Singapore, particularly among younger workers in communal living environments. The spectrum of COVID-19 infection ranges from mild respiratory illness, to viral pneumonia and life-threatening acute respiratory distress syndrome in up 15-20% (Huang, et al 2020, Wu and McGoogan 2020).;"https://www.ncbi.nlm.nih.gov/pubmed/32420610/; https://doi.org/10.1111/bjh.16847";2/6/2020;SARS-CoV-2;0.9643
321;Scarless, entirely laparoscopic panproctocolectomy and extra-sphincteric dissection with perineal extraction of the specimen for cancer of the anorectal junction - Video Vignette.;10.1111/codi.15188;A 66-year-old male with a history of long-standing ulcerative colitis, managed with azathioprine and sulfasalazine, underwent a flexible sigmoidoscopy for a flare up of his symptoms. Endoscopy showed essentially normal mucosa (Mayo Score 0) but a fibro-epithelial polyp was observed at the ano-rectal junction and biopsied. No synchronous lesions, nor further polyps were detected on completion of the pancolonscopy. Histology from the biopsy showed high-grade dysplasia (HGD) with some features which raised the possibility of deeper invasion.;"https://doi.org/10.1111/codi.15188; https://www.ncbi.nlm.nih.gov/pubmed/32533879/";13/6/2020;high-grade dysplasia;0.9539
322;Learning to Select Important Context Words for Event Detection;10.1007/978-3-030-47436-2_57;It is important to locate important context words in the sentences and model them appropriately to perform event detection (ED) effectively. This has been mainly achieved by some fixed word selection strategy in the previous studies for ED. In this work, we propose a novel method that learns to select relevant context words for ED based on the Gumbel-Softmax trick. The extensive experiments demonstrate the effectiveness of the proposed method, leading to the state-of-the-art performance for ED over different benchmark datasets and settings.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206272/;17/4/2020;event detection;0.9785
323;The involvement of the central nervous system in patients with COVID-19.;10.1515/revneuro-2020-0026;Coronaviruses disease (COVID-19) has caused major outbreaks. A novel variant, SARS-CoV-2, is responsible for COVID-19 pandemic. Clinical presentations and pathological mechanisms of COVID-19 are broad. The respiratory aspect of the disease has been extensively researched. Emerging studies point out the possibility of the central nervous system (CNS) involvement by COVID-19. Here, we discuss the current evidence for CNS involvement in COVID-19 and highlight that the high pathogenicity of SARS-CoV-2 might be due to its neuroinvasive potential.;"https://doi.org/10.1515/revneuro-2020-0026; https://www.ncbi.nlm.nih.gov/pubmed/32463395/";28/5/2020;Coronaviruses disease;0.9913
324;Pandemic and Future of Work: Rehabilitating Informal Workers Livelihoods Post Pandemic;10.1007/s41027-020-00271-0;"At SEWA, we strongly believe that ""Work is a healer"". In the current pandemic situation, when the majority of informal workers livelihoods have come to a screeching halt, it is important to focus on rehabilitating the livelihoods of workers, building their resilience, promoting the local decentralized economies, organizing workers into their own economic enterprises, repurposing the supply chains of worker-owned microenterprises and hand-holding workers to adopt and adapt new technologies. At SEWA, we call this Building Economy of Nurturance.";"https://doi.org/10.1007/s41027-020-00271-0; https://www.ncbi.nlm.nih.gov/pubmed/33071491/";11/10/2020;Building Economy of Nurturance;0.9503
325;Estimating the Asymptomatic Proportion of 2019 Novel Coronavirus onboard the Princess Cruises Ship, 2020;10.1101/2020.02.20.20025866;The potential infectiousness of asymptomatic COVID-19 cases together with a substantial fraction of asymptomatic infections among all infections, have been highlighted in clinical studies. We conducted statistical modeling analysis to derive the delay-adjusted asymptomatic proportion of the positive COVID-19 infections onboard the Princess Cruises ship along with the timeline of infections. We estimated the asymptomatic proportion at 17.9% (95% CrI: 15.5%-20.2%), with most of the infections occurring before the start of the 2-week quarantine.;https://doi.org/10.1101/2020.02.20.20025866;23/2/2020;asymptomatic;0.9693
326;Covid19 and Pregnancy: An Overview.;10.1055/s-0040-1713408;Since the World Health Organization (WHO) declared coronavirus infection (COVID-19) a Public Health Emergency of International Concern in January 2020, there have been many concerns about pregnant women and the possible effects of this emergency with catastrophic outcomes in many countries. Information on COVID-19 and pregnancy are scarce and spread throughout a few case series, with no more than 50 cases in total. The present review provides a brief analysis of COVID-19, pregnancy in the COVID-19 era, and the effects of COVID-19 on pregnancy.;"https://doi.org/10.1055/s-0040-1713408; https://www.ncbi.nlm.nih.gov/pubmed/32559801/";19/6/2020;coronavirus infection;0.9838
327;Mechanical circulatory support for cardiovascular complications in a young COVID‐19 patient;10.1111/jocs.14916;Background: The current coronavirus (COVID‐19) pandemic is associated with severe pulmonary and cardiovascular complications. Case presentation: This report describes a young patient with COVID‐19 without any comorbidity presenting with severe cardiovascular complications, manifesting with pulmonary embolism, embolic stroke, and right heart failure. Conclusion: Management with short‐term mechanical circulatory support, including different cannulation strategies, resulted in a successful outcome despite his critical cardiovascular status.;"https://doi.org/10.1111/jocs.14916; https://www.ncbi.nlm.nih.gov/pubmed/32740953/";2/8/2020;coronavirus;0.9898
328;Challenges in teaching human anatomy to students with intellectual disabilities during the Covid‐19 pandemic;10.1002/ase.1991;"In the context of the Covid‐19 pandemic and the various subsequent changes and behavioral adjustments necessary in the educational field, two important articles were recently published in Anatomical Sciences Education (Franchi, 2020; Srinivasan, 2020). The first study (Franchi, 2020) reported the impact of the pandemic on human anatomy education in the United Kingdom. This article described from the perspective of a medical student how the lack of practical teaching with cadavers can adversely impact training and lead to losses for students.";"https://www.ncbi.nlm.nih.gov/pubmed/32543006/; https://doi.org/10.1002/ase.1991";15/6/2020;Anatomical Sciences Education;0.9385
329;Outcomes in CME/CPD - Special Collection: How to make the “pyramid” a perpetuum mobile;10.1080/21614083.2020.1832750;Continuing medical education (CME) should not be an end in itself, but as expressed in Moore’s pyramid, help to improve both individual patient and ultimately community, health. However, there are numerous barriers to translation of physician competence into improvements in community health. To enhance the effect CME may achieve in improving community health the authors suggest a kick-off/keep-on continuum of medical competence, and integration of aspects of public health at all levels from planning to delivery and outcomes measurement in CME.;"https://www.ncbi.nlm.nih.gov/pubmed/33194316/; https://doi.org/10.1080/21614083.2020.1832750";27/10/2020;Continuing medical education;0.9806
330;Case Report of Acute Splenic Sequestration Crisis in an Adult Patient with Hb S Disease and Suspected Hereditary Persistence of Fetal Hemoglobin.;10.1080/03630269.2020.1868495;Acute splenic sequestration crisis (ASSC) is a life-threatening complication of sickle cell disease characterized by acute splenic enlargement and a rapid drop in hemoglobin (Hb) levels. Although ASSC is predominantly a disease of childhood, rare cases of ASSC have been reported in adults, frequently in association with heterozygous sickle cell disease. We describe a case of ASSC in a 29-year-old woman with homozygous Hb S (HBB: c.20A>T) disease and suspected hereditary persistence of fetal Hb (HPFH), which was accompanied by marked leukocytosis.;"https://doi.org/10.1080/03630269.2020.1868495; https://www.ncbi.nlm.nih.gov/pubmed/33588663/";15/2/2021;Acute splenic sequestration crisis;0.9224
331;Sudden cardiac death—update;10.1007/s00414-020-02481-z;Sudden cardiac death (SCD) is one of the most common causes of death worldwide with a higher frequency especially in the young. Therefore, SCD is represented frequently in forensic autopsy practice, whereupon pathological findings in the heart can explain acute death. These pathological changes may not only include myocardial infarction, coronary thrombosis, or all forms of myocarditis/endocarditis but also rare diseases such as hereditary structural or arrythmogenic anomalies, lesions of the cardiac conduction system, or primary cardiac tumours.;"https://www.ncbi.nlm.nih.gov/pubmed/33349905/; https://doi.org/10.1007/s00414-020-02481-z";21/12/2020;Sudden cardiac death;0.9442
332;Neuro‐axial steroid injection in pain management and COVID‐19 vaccine;10.1002/ejp.1749;The novel coronavirus pandemic (COVID-19), which began in late 2019, has affected all aspects of our everyday life. The medical ecosystem has changed profoundly, at times stretching its capacity, to provide proper healthcare to all those in need. Recent investigations have focused on the impact of the virus on the emergency departments and intensive care units. However, outpatient care has also been fundamentally transformed since the pandemic. There is no consensus on the best way to manage patients with severe pain during the COVID-19 pandemic.;"https://www.ncbi.nlm.nih.gov/pubmed/33565660/; https://doi.org/10.1002/ejp.1749";22/2/2021;coronavirus pandemic;0.9473
333;Problematic consumption of online pornography during the COVID-19 pandemic: clinical recommendations.;10.47626/2237-6089-2020-0090;The coronavirus disease (COVID-19) pandemic is one of the greatest contemporary challenges. Feelings of fear and uncertainty triggered by this pandemic have had noxious effects on people's mental health. This seems to have increased during quarantine and there is evidence of an intensification of rewarddirected behavior. Nevertheless, there are few studies dealing with pornography consumption during this period. The aim of this manuscript is to contextualize this phenomenon during the pandemic and suggest some clinical recommendations on the matter.;"https://doi.org/10.47626/2237-6089-2020-0090; https://www.ncbi.nlm.nih.gov/pubmed/34043899/";21/5/2021;coronavirus disease;0.9109
334;Testing vaccines in the time of Covid: The changing landscape.;10.20529/ijme.2021.018;The initial trials of SARS-CoV-2 vaccines were randomised control trials (RCT) with a placebo as control. The use of a placebo was ethically justified because, as with any new and emerging infectious disease, there was no known vaccine. There are now at least eight vaccines that have been shown to be effective and approved for emergency use, so the use of a placebo in the control group is no longer ethically justified. This article discusses why ethical guidelines should be continually evaluated in a changing landscape and why trust is so important.;"https://doi.org/10.20529/ijme.2021.018; https://www.ncbi.nlm.nih.gov/pubmed/33908357/";1/1/2021;randomised control trials;0.9116
335;Contrast Media-Induced Immune Hemolytic Anemia;10.7759/cureus.14522;Drug-induced immune hemolytic anemia (DIIHA) is a rare type of immune-mediated hemolytic anemia, and mainly it is caused by antibiotics. There have been few case reports of contrast medium-induced immune hemolytic anemia. Here, we report a case of a 70-year-old woman who was admitted with community-acquired pneumonia. She had a CT abdomen and pelvis using iohexol (omnipaque), which resulted in severe hemolytic anemia and contributed to the patient’s death. This case illustrates a very rare complication of IV contrast medium that may result in death.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8126377/;16/4/2021;Drug-induced immune hemolytic anemia;0.9114
336;Pediatric Multisystem Inflammatory Syndrome Temporally Associated With SARS‐COV‐2: Oral Manifestations and Implications;10.1111/ipd.12694;"In connection with the editorial of Mallineni et al. 2020 on the coronavirus disease (COVID‐19) characteristics in children, we aim to demonstrate the emerging Pediatric Multi‐system Inflammatory Syndrome Temporally Associated with SARS‐COV‐2 (PMIS‐TS) from oral health professionals perspective.(1) The epidemiological burden of COVID‐19 in children was unexplainably lower than adults; therefore, it was predicted that the clinical course differs between children and adults, such hypothesis was confirmed by the surging cases of PMIS‐TS.(2)";"https://doi.org/10.1111/ipd.12694; https://www.ncbi.nlm.nih.gov/pubmed/32767455/";7/8/2020;coronavirus disease;0.9712
